indicator,id,year,stage
"[0.009462911621853379, 0.2252421099076864, 0.14838036595315224, 0.16717046987572623, 0.1101178526613565, 0.17870847883837782, 0.22862274786708356, 0.01107148882989745, 0.16757024609264085]",21,2010,
"[0.012212512357259831, 0.2174468456303712, 0.1504490216794234, 0.24880446595343086, 0.07946457409814639, 0.19332627943082276, 0.2443828054935274, 0.05218425352211369, 0.19965803565158038]",22,2011,
"[0.014283640183929627, 0.18530548376063194, 0.15719462755678823, 0.2438459166037633, 0.08816555425105255, 0.1892518631259693, 0.17108165608148024, 0.018696276913081032, 0.21815714546213422]",23,2012,
"[0.0498499042419144, 0.11635586940249806, 0.1378521835751648, 0.1476248509169105, 0.09420915040117263, 0.1413561112126785, 0.1372991299679912, 0.1281310106076736, 0.11608004035188137]",24,2013,
"[0.1427649836383766, 0.08945615291409531, 0.15860233402709858, 0.1254874253557021, 0.07089166830335958, 0.13255980759608343, 0.14861419896295827, 0.25620122823853886, 0.11817797208867166]",25,2014,
"[0.24132210090749104, 0.08937345288459009, 0.18955689762442776, 0.13375399806211385, 0.05261331911344012, 0.12029641501127294, 0.14214391277842672, 0.31348497947436765, 0.09750308990657144]",26,2015,
"[0.35159180312742777, 0.08594020098668351, 0.19944518379919624, 0.1429877865683062, 0.0346183211491259, 0.11448959628168398, 0.1415840904418498, 0.380873609069781, 0.09280059046136091]",27,2016,
"[0.4220101492342008, 0.08074908300089592, 0.19873249079613692, 0.14132252259061484, 0.024839178367839655, 0.10882316485498203, 0.1452855699714983, 0.41268621310332104, 0.09134115556400191]",28,2017,
"[0.4254025137778841, 0.08755918060009155, 0.196203593664694, 0.13146165104413207, 0.01676015771221464, 0.10203577999170046, 0.1548431272821723, 0.38562966096205414, 0.08171312408046193]",29,2018,
"[0.4567193948811498, 0.09083166173854276, 0.19311557940551374, 0.10114019483244527, 0.010339778084553013, 0.08679191700462786, 0.16182240616027968, 0.33643335058584933, 0.06550610172603684]",30,2019,
"[0.47589518182807533, 0.09594574884622901, 0.20109652729230296, 0.09155094095455939, 0.004982397071093171, 0.07336150415877618, 0.17320738249775716, 0.25335716914481043, 0.05782596888597182]",31,2020,
