indicator,id,year,stage
"[0.009510957483417492, 0.06313248757283337, 0.07146159474563839, 0.0014577661171806646, 0.06645279935737931, 0.07903751102474102, 0.06377014938806026, 0.0, 0.06384274034928968]",31,1931,1
"[0.009996918814686999, 0.07936968737765185, 0.07549291035831848, 0.003605946464859394, 0.08263722457269905, 0.10532216525318294, 0.07384524411004192, 0.011842774589465352, 0.05309829906153164]",32,1932,1
"[0.018327684493592834, 0.054993247765350924, 0.07489089352930477, 0.004085058232917636, 0.06625459845259114, 0.09661986199015388, 0.07363822900841187, 0.0, 0.05757221339487577]",33,1933,1
"[0.018883068872186555, 0.057918420518827035, 0.07969994561048484, 0.0020558789799650845, 0.0900019524182107, 0.09942686799191175, 0.07861963861780442, 0.0, 0.06252953209426852]",34,1934,1
"[0.023950951326854267, 0.06043661271529778, 0.07278645209223078, 0.003936391057291325, 0.06815298395351357, 0.08298590143212528, 0.06802644820372682, 0.018834505749007555, 0.05432581011088624]",35,1935,1
"[0.031170948248572652, 0.053661610102075825, 0.07532477470050486, 0.0051596479140835465, 0.08924740426119603, 0.09128932861457596, 0.07209263041634972, 0.018410083697649945, 0.054244546225801986]",36,1936,1
"[0.032420563100408535, 0.05754635357759259, 0.07487181462337458, 0.006756917638649394, 0.08066515386426155, 0.09310846810376001, 0.06665569638805849, 0.008753955222372777, 0.05083592937571153]",37,1937,1
"[0.02700556540911974, 0.06829112822099914, 0.07762767131960768, 0.008522497952936421, 0.09766892215734493, 0.09297348075293652, 0.06749711043350401, 0.019177166647031223, 0.058344540183931884]",38,1938,1
"[0.022076529049100454, 0.07673887163081486, 0.08616337468238403, 0.005777888094636824, 0.11823566525586904, 0.09688969923576307, 0.07579096286848955, 0.007946240998702241, 0.07594547330107701]",39,1939,1
"[0.012982109849628255, 0.0850709064305053, 0.09144989760264642, 0.0021359781610026853, 0.14854574870036105, 0.10302446096523625, 0.07903453863241597, 0.0031357876448271913, 0.0656211038565051]",40,1940,1
"[0.01541191650597579, 0.0681802427729135, 0.07445483809639755, 0.0059374419961926, 0.12367329343410123, 0.11097257350782702, 0.06826223065488339, 0.0, 0.05687153349715004]",41,1941,1
"[0.010968841477226012, 0.08211219111529908, 0.07363199251470903, 0.017696173498433637, 0.120458531716617, 0.10196842629566624, 0.06952562881581152, 0.028713958953673124, 0.0475671579366904]",42,1942,1
"[0.007983650442284756, 0.10609983121130054, 0.0834740830323558, 0.0788435973533939, 0.1645645222292157, 0.12280561299507584, 0.07800637623361488, 0.11632122739498342, 0.04589314704889793]",43,1943,1
"[0.008677880915526908, 0.09390506580119157, 0.07577898875546579, 0.07828787155707041, 0.14939217196005242, 0.13520887849914495, 0.06595714067752961, 0.09182556368698822, 0.044310401058801664]",44,1944,1
"[0.009510957483417492, 0.10597238985439886, 0.07935021234742964, 0.10816624589480532, 0.15619024100927342, 0.12738786779593422, 0.0817215319235732, 0.23049707651398083, 0.04532970690045514]",45,1945,1
"[0.019438453250780276, 0.07612135268188697, 0.08673170453196288, 0.06447907788592534, 0.11572056095068496, 0.10866456911341742, 0.07720987323122949, 0.16485559206701472, 0.06307411887128002]",46,1946,1
"[0.01881364582486234, 0.07010052372758402, 0.09289630608473604, 0.06647305910128541, 0.10117944092527152, 0.11184302455057801, 0.07960118060739471, 0.116218837889083, 0.0748718991141057]",47,1947,1
"[0.017980569256971755, 0.06678880924693568, 0.10456404734856711, 0.08960139739708832, 0.12427297743807114, 0.10815463935045161, 0.08238493105753866, 0.07491736264271556, 0.07582071083245281]",48,1948,1
"[0.019230184108807627, 0.07583061555292878, 0.09776927170858803, 0.11881899020670822, 0.15152254530410603, 0.11997725124315464, 0.08379595505239766, 0.15098342538496282, 0.08045395176990724]",49,1949,1
"[0.02832460330827983, 0.05943262759121467, 0.09722925916117797, 0.1272686987597433, 0.14020801957976015, 0.10800899164135017, 0.08559465584457568, 0.1734943658524326, 0.07381958650017813]",50,1950,1
"[0.02832460330827983, 0.05489000637405177, 0.09271059166811041, 0.1174787988551477, 0.10269622486763133, 0.11201064796415243, 0.0863409539840656, 0.10287856260140761, 0.09635398658970619]",51,1951,1
"[0.026033642746580727, 0.05560168369807395, 0.09001933563568755, 0.08361357710517045, 0.12186501551443814, 0.10885282662679137, 0.08544447769589064, 0.09396413652676312, 0.08280226460483138]",52,1952,1
"[0.024575758752772205, 0.05410082217954465, 0.08171102994477528, 0.0863170496672992, 0.099427920600846, 0.11538432038762872, 0.07853741933125044, 0.13260888308888205, 0.061584368684180726]",53,1953,1
"[0.02832460330827983, 0.054132902837857946, 0.08647794685008618, 0.09231875610033688, 0.1200904528606091, 0.11177483607370158, 0.08324094632772283, 0.10367450094357661, 0.073773877777887]",54,1954,1
"[0.028255180260955616, 0.04857367945231686, 0.08981440259880125, 0.10579442102306813, 0.12311554537446488, 0.11189187293333566, 0.08281243494088285, 0.16772385548824162, 0.06694452298053138]",55,1955,1
"[0.027630372835037675, 0.05238852107230586, 0.08337963333941761, 0.08901823155461165, 0.11022966227436615, 0.10981444101549029, 0.07762308395105995, 0.02900677595030134, 0.06002405097491342]",56,1956,1
"[0.01985499153472557, 0.06912408229752784, 0.08513444141990718, 0.10139324024267361, 0.11266623709119691, 0.10556937047082657, 0.07583577393340803, 0.11016980747456934, 0.05301316789810363]",57,1957,1
"[0.020618645055291936, 0.059283501137115883, 0.08690447380606714, 0.08835829659347774, 0.1118725186986375, 0.10497736164109733, 0.07231727550277234, 0.07285287180419936, 0.06002894179195772]",58,1958,1
"[0.020063260676698214, 0.059855714861440625, 0.09436957506820216, 0.07919453146352896, 0.0942574921544606, 0.08602215999462563, 0.07423809184862713, 0.047037954120331266, 0.06336842158572932]",59,1959,1
"[0.020132683724022427, 0.05964931584467704, 0.09141355678960089, 0.08291572603335044, 0.08886505695221199, 0.10972305086011108, 0.07462823029246346, 0.07981485892052245, 0.05884131105422548]",60,1960,1
"[0.027491526740389245, 0.056943362934334996, 0.08685096119904369, 0.06636958808048898, 0.07512474961154461, 0.11005984050678633, 0.0793755046821596, 0.05568527260853804, 0.07290125671596538]",61,1961,1
"[0.02596421969925651, 0.06235780034469078, 0.10045890238506328, 0.06717651316353446, 0.09075666065757543, 0.10930758108766213, 0.0870507200467973, 0.09577597297350901, 0.07988222521133828]",62,1962,1
"[0.028532872450252475, 0.05937460140778375, 0.11152339786061749, 0.054812006005993, 0.08136543543364161, 0.11351267738448266, 0.08890208493777838, 0.042934698945136754, 0.10150405839471285]",63,1963,1
"[0.031656909579842164, 0.05148304046117958, 0.09996014169328597, 0.05614765224230458, 0.10760655717186908, 0.10786682753514536, 0.0924563686979426, 0.024834355984930057, 0.10907303999777014]",64,1964,1
"[0.036238830703240375, 0.05532947451862404, 0.11192254022068107, 0.050884973986875276, 0.08253422844734878, 0.10104247923718107, 0.09485574725725575, 0.00925261595479276, 0.12218414317270862]",65,1965,1
"[0.04359767371960719, 0.05066324682326271, 0.10649485980147642, 0.0487836324290532, 0.08869344047837995, 0.09708868454542635, 0.0985376814415992, 0.020740161293046903, 0.11783417468295279]",66,1966,1
"[0.04401421200355248, 0.04799128850561062, 0.12082876570715427, 0.041832829068672146, 0.1070756816590953, 0.08920303282639985, 0.09649683839624597, 0.01916126548810311, 0.11780738260662663]",67,1967,1
"[0.052414400729782526, 0.04091367453868577, 0.11114745672831554, 0.038514373897518085, 0.10842995537007273, 0.0872214944090797, 0.09561253930620967, 0.02244041016964942, 0.114068628943712]",68,1968,1
"[0.0536640155816184, 0.04375725431176583, 0.11694796054146267, 0.03627404878492452, 0.09788336038010004, 0.08462094297131698, 0.09847659796632956, 0.019631689885711692, 0.1279385362980959]",69,1969,1
"[0.04804074874835697, 0.04932551419907813, 0.12429803190119246, 0.042944273061269016, 0.17828093480138393, 0.0863946365054611, 0.09446760646788435, 0.019714100012789924, 0.11410482357472013]",70,1970,1
"[0.050470555404704506, 0.05523627449755169, 0.10642133863007149, 0.03790993976811231, 0.10392889906320721, 0.07954842986391006, 0.0928192419285957, 0.01737767895548026, 0.12654236566899427]",71,1971,1
"[0.062341896497145305, 0.04368605437797199, 0.11376589562378882, 0.03816360267485934, 0.09415680977288077, 0.07894556208094562, 0.1083736900795706, 0.021520036461209764, 0.20252404854288705]",72,1972,1
"[0.07171400788591438, 0.04186423425691273, 0.121730250523262, 0.03684944860120518, 0.10010266208050625, 0.07925736627995547, 0.11003710085229033, 0.02070905894276388, 0.20730715323541135]",73,1973,2
"[0.06997843170280899, 0.038765503680590584, 0.11062202570467053, 0.03637647093121894, 0.1052166727670467, 0.07929676724834579, 0.10423844086773068, 0.0198074649889933, 0.20634332036002176]",74,1974,2
"[0.06102285859798522, 0.03443916699792218, 0.10696750079152437, 0.03321749791519728, 0.11327745870946568, 0.0801644338526929, 0.09166398571251465, 0.019584278815270483, 0.16644215012578337]",75,1975,2
"[0.07421323758958612, 0.034675200310616744, 0.09717328779517889, 0.035122754082418335, 0.09307689513786394, 0.08823114751634056, 0.08974523776175472, 0.02038350972513765, 0.16913338965941066]",76,1976,2
